Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 habitants,Lits d hopitaux pour 1000 habitants,Taux deces 2 ans,Chomage,Depenses t-1
10.107,129.3,0.1862702164434696,3.4,6.26,2.002,11.2,9.975
9.962,128.1,0.1925092185951393,3.44,6.13,2.0,10.3,10.107
9.835,127.2,0.1980113905493617,3.49,5.57,2.031,8.7,9.962
10.032,126.3,0.2009143587662127,3.54,6.1,2.066,7.5,9.835
10.97,127.9,0.2040064922037118,3.62,6.11,2.089,7.8,10.032
10.831,129.8,0.2066170619228758,3.75,6.2,2.092,7.0,10.97
10.521,132.2,0.206631704132772,3.88,6.24,2.146,5.8,10.831
10.594,134.0,0.2066957059751344,3.95,6.22,2.195,5.1,10.521
10.743,135.6,0.2075804446554188,4.04,6.2,2.188,4.9,10.594
10.768,137.7,0.208658404932194,4.11,6.17,2.221,4.7,10.743
10.923,136.5,0.2104584896460591,4.14,6.11,2.261,4.4,10.768
10.971,137.0,0.2105267295371706,4.19,6.06,2.243,3.9,10.923
11.051,137.0,0.2121831587644033,4.25,6.01,2.287,3.5,10.971
11.184,136.4,0.2139051589439706,4.31,5.96,2.288,3.2,11.051
11.428,135.8,0.2154143764287431,4.4,6.0,2.319,2.9,11.184
12.468,137.7,0.2175231145067165,4.47,5.87,2.416,3.6,11.428
12.724,135.0,0.2197297719725461,4.53,5.81,2.513,3.6,12.468
12.447,133.8,0.2214937051405092,4.58,5.78,2.516,3.1,12.724
11.744,132.0,0.2224559367354327,,,,3.1,12.447
9.718,138.8,0.1594790570684688,4.32,7.69,1.823,5.6,9.815
9.641,137.9,0.1644703159493394,4.45,7.66,1.804,5.3,9.718
9.605,137.9,0.168852070703022,4.52,7.75,1.807,4.9,9.641
9.834,138.1,0.1714044156774883,4.59,7.69,1.835,4.1,9.605
10.312,141.7,0.1738544065311074,4.67,7.68,1.855,5.3,9.834
10.316,140.1,0.1764185801524323,4.77,7.65,1.84,4.8,10.312
10.137,142.0,0.1764262765481369,4.82,7.68,1.862,4.6,10.316
10.302,144.6,0.1779656834148795,4.87,7.67,1.891,5.2,10.137
10.406,144.3,0.1807006978345595,4.96,7.64,1.867,5.7,10.302
10.512,143.9,0.1829686360235201,5.02,7.58,1.896,6.0,10.406
10.517,142.6,0.1845010661711004,5.06,7.54,1.907,6.1,10.512
10.517,142.8,0.1844689787483919,5.11,7.42,1.884,6.5,10.517
10.571,140.8,0.1852891843200596,5.16,7.37,1.906,5.9,10.517
10.516,141.5,0.1866858030934679,5.22,7.27,1.897,5.2,10.571
10.625,140.6,0.1883509853224627,5.29,7.19,1.975,4.8,10.516
11.413,139.8,0.1902724213644571,5.32,7.05,2.062,6.0,10.625
12.185,136.4,0.1921360749715874,5.41,6.91,2.074,6.2,11.413
11.225,137.4,0.1944207377071363,5.45,6.72,2.039,4.8,12.185
11.153,136.4,0.1955790875378318,,,1.958,5.1,11.225
9.25,133.8,0.1722693371493297,2.87,6.02,1.961,8.5,9.355
9.133,132.2,0.1721007760920495,2.89,5.98,1.924,8.3,9.25
9.139,131.0,0.1710100794234304,2.91,5.93,1.939,7.5,9.133
9.6,129.3,0.1705961244849237,2.92,5.89,1.954,7.0,9.139
10.544,132.9,0.1708141295331198,2.92,5.83,1.944,7.9,9.6
10.413,132.8,0.1716028876636834,2.91,5.75,1.932,8.3,10.544
10.413,132.6,0.1711884347071506,2.92,5.69,1.94,7.2,10.413
10.587,134.4,0.1737773825649571,2.93,5.64,1.972,7.6,10.413
10.638,134.7,0.17592589101034,2.96,5.61,1.922,8.6,10.587
10.62,134.6,0.1783564562233249,2.98,5.63,1.926,8.7,10.638
10.884,132.6,0.1807328004994806,3.02,5.69,1.946,8.7,10.62
10.898,132.7,0.182378274400309,3.07,5.64,1.925,7.9,10.884
